Number,Question,Option A,Option B,Option C,Option D,Answer
1,thought,lout,flat,claw,coach,D
2,farm,apple,sat,bare,starry,C
3,tent,make,many,code,may,B
4,ahead,treaty,mango,exact,complain,D
5,perch,girdle,heart,parch,bet,D
6,soup,double,put,mouth,brood,B
7,fake,grey,dye,plaid,when,A
8,fawn,gaunt,tower,game,goal,C
9,fleece,pet,raise,gift,key,B
10,bat,cattle,merchant,bake,bark,C
11,mutt,worm,ride,put,month,D
12,took,pool,tool,full,dull,C
13,voice,soggy,idiot,employ,cloud,C
14,load,cow,blow,tad,do,B
15,village,gist,bait,set,beat,D
16,barbed,sober,thumb,bomber,debt,B
17,tusk,axe,calls,scene,scam,D
18,thaw,light,athlete,whine,worthy,B
19,motion,cushion,fusion,scion,mason,B
20,choice,change,chorus,chic,sure,A
21,ghetto,gem,harm,gain,gnat,D
22,"As a school prefect, I must be whiter than white.",bright,honest,eloquent,attractive,B
23,My mother advised my father not to let the grass grow under his feet. This means that my father should,not allow others to progress,not be lazy,act without delay,face challenges,C
24,"Had he confessed much earlier, she would have trusted him. This means that he","had confessed earlier on, but he wasn’t trusted","had confessed much earlier on, and he was trusted","hadn’t confessed much earlier on, and he was trusted","hadn’t confessed earlier on, and he wasn’t trusted",D
25,Investing in the business is a long shot. This means that investing in the business,has very little chance of success,requires huge capital,will be profitable,will take a long time to yield profit,A
26,"To get to school early, we woke up at the crack of dawn. This means that we woke up",at sunrise,when the light was put on,very early in the morning,in the morning light,C
27,Recent demonstrations have put the rector in the hot seat. This means that the rector,is in a position to make a difficult decision,is about to be removed,wants to voluntarily quit the position,has been attacked in the demonstration,A
28,Ekpong knew that there was little food for him at home. This means that,Ekpong was sure of some food,Ekpong was not sure of any food,Ekpong had hidden some food before going out,Ekpong’s share of the food would not satisfy him,D
29,The manager is on the ball; he has improved sales. This means that the manager is,friendly and lively,smart and neat,energetic and sporty,competent and efficient,D
30,The man’s withdrawal of his son from that school was like cutting off his nose to spite his face. This means that the decision,caused the man much pain,affected his son badly,was a big blow to the school,did the man no good at all,D
31,The company was granted a stay of execution. This means that the action against the company should be,executed,prioritised,suspended,disregarded,C
32,Improvement in technology has extended the frontiers of knowledge.,borders,bounds,partitions,precincts,B
33,This type of music is inappropriate for such a solemn ceremony.,unfashionable,indecent,unsuitable,insufficient,C
34,Solitude is not good for the aged; it makes them lonely.,independence,privacy,grief,seclusion,D
35,"The recalcitrant boy was not appointed prefect, much to his chagrin.",dishonest,wicked,unruly,unrepentant,C
36,The professor’s explanation was incisive.,dull,clear,brief,apt,B
37,People often describe his father as jocular.,caring,hilarious,kind,happy,B
38,The electorate misconstrued the intention of the candidate during the debate.,misinterpreted,misplaced,misapplied,misdirected,A
39,Most of his suggestions were absurd.,unexpected,evocative,expressive,ridiculous,D
40,Ann’s behaviour has been weird recently.,wicked,strange,lousy,dangerous,B
41,The headmaster advised his pupils to exhibit some amount of decorum.,decency,gentility,intellect,smartness,A
42,"______ football, I also play basketball.",Except,Besides,Except for,Beside,B
43,Passengers are not allowed to carry ______ on this flight.,many luggage,few luggages,much luggage,a luggage,C
44,The class visited the apiary ______.,in two weeks,two weeks ago,since two weeks,during two weeks,B
45,"If she had prepared well for the examination, she ______ certainly won the scholarship.",may have,could have,might have,would have,D
46,"Peter and Paul come often, ______?",have they,doesn't they,won't they,don't they,D
47,My family ______ Freedom Square twice in the 1990s.,used to visit,visited,would visit,visits,B
48,The ______ who attended the seminar appreciated the frank talk of the speaker.,fathers-in-law,father-in-laws,fathers-in-laws,father’s-in-law,A











